"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rrnad1",9.31776596280388e-31,0.209959298494481,1,1,1.45152158168559e-26
"Sccpdh",9.93783551290057e-31,-0.367392130914715,1,1,1.54811601619965e-26
"Shpk",1.04959989864344e-30,0.0970158230743097,1,1,1.63506672210676e-26
"Nemp1",1.06625139131188e-30,0.247960837741038,1,1,1.66100641738565e-26
"D130020L05Rik",1.13283261680194e-30,0.14849911483641,1,1,1.76472665045406e-26
"Milr1",1.14851728263776e-30,-0.108163588454208,1,1,1.78916022289311e-26
"Reep1",1.17012208149722e-30,0.170819470291178,1,1,1.82281617855637e-26
"Smim15",1.18455580610436e-30,-0.459277201110944,1,1,1.84530103474937e-26
"Mpdu1",1.1954482574079e-30,0.368819137251529,1,1,1.86226929539003e-26
"Kyat3",1.20057644445661e-30,0.205046212633385,1,1,1.87025798517451e-26
"Abca2",1.24104459701028e-30,-0.162782269522356,1,1,1.93329927322261e-26
"C530008M17Rik",1.25543828481035e-30,-0.188393049271129,1,1,1.95572176007756e-26
"Cdc42bpb",1.32151899589619e-30,-0.348509093599118,1,1,2.05866229180708e-26
"Serpine1",1.34509956360584e-30,-1.37727271468561,1,1,2.09539610018518e-26
"Gprc5c",1.43540611091583e-30,0.0397673642052732,1,1,2.23607563958468e-26
"Slc49a4",1.50306708028398e-30,-0.272737581119771,1,1,2.34147789766638e-26
"Slc44a2",1.5606503082552e-30,-0.552245200658604,1,1,2.43118105019996e-26
"Ebp",1.58545130101933e-30,-0.712077843910802,1,1,2.46981603672791e-26
"Hmgb3",1.66324436584984e-30,0.638409644764469,1,1,2.59100207312088e-26
"Dancr",1.6912600634349e-30,0.448929375468992,1,1,2.63464492681889e-26
"Lrrc8b",1.82532860608392e-30,-0.154400254895376,1,1,2.84349690255753e-26
"Mprip",1.91357338759556e-30,-0.679853300492617,1,1,2.98096462319637e-26
"Chsy3",2.01350648654615e-30,0.173937756648874,1,1,3.1366404047416e-26
"Hmgn5",2.02398661712197e-30,0.605671323970408,1,1,3.15296635215261e-26
"Dock4",2.05210446414874e-30,0.245070614861365,1,1,3.1967683342509e-26
"Atp8b1",2.05411817280839e-30,-0.574598400112563,1,1,3.19990528960092e-26
"Ctsh",2.06005724148172e-30,-0.979780880322795,1,1,3.20915717078022e-26
"Nfu1",2.08645695111647e-30,-0.515868464950922,1,1,3.25028263844924e-26
"Dpysl3",2.13612463065511e-30,-1.35666765691396,1,1,3.32765494963452e-26
"Las1l",2.17194986566186e-30,0.321700271772677,1,1,3.38346350072805e-26
"Ptger4",2.194314376651e-30,-0.204428050730808,1,1,3.41830293594692e-26
"Csnk1g2",2.28588315435505e-30,-0.483612928003645,1,1,3.5609487778543e-26
"Stimate",2.33739259910338e-30,-0.349965779219056,1,1,3.64119019088324e-26
"Arsj",2.38212311511269e-30,-0.0930807870162398,1,1,3.71087138872255e-26
"Sike1",2.47922387329851e-30,-0.459140121258666,1,1,3.86213494982443e-26
"Creb3l3",2.48632848825863e-30,-0.135084912897992,1,1,3.8732025190093e-26
"Taf2",2.50916229786335e-30,0.379793628575523,1,1,3.90877302761153e-26
"Trmt1l",2.53263921635191e-30,0.280140394204803,1,1,3.94534537123301e-26
"Rap1gap2",2.59772235587202e-30,-0.0820504556779831,1,1,4.04673188597744e-26
"Ndst1",2.61595439498577e-30,-0.664736190776457,1,1,4.07513375650883e-26
"Sumo3",2.77781528350645e-30,-0.409544758529468,1,1,4.32728064864634e-26
"Pgrmc1",2.81141460571046e-30,-0.576770088002362,1,1,4.37962167277576e-26
"Psmc4",2.84632264894995e-30,-0.633004866387456,1,1,4.43400142253423e-26
"Desi2",2.84815566059551e-30,-0.446749494131679,1,1,4.43685688807568e-26
"Pdk1",2.92821978307077e-30,0.391919166735714,1,1,4.56158077806765e-26
"Rapgef3",3.00187053575102e-30,-0.0779157873622789,1,1,4.67631392059295e-26
"Lamtor5",3.08508889286702e-30,-0.595809762021884,1,1,4.80595147730824e-26
"Cyp2j9",3.17324982974089e-30,-0.0755798244052797,1,1,4.94328858477035e-26
"Ankrd50",3.22218382121739e-30,-0.429149462420623,1,1,5.01951795669246e-26
"Abca9",3.30672580534924e-30,-0.108834883758441,1,1,5.15121745957305e-26
"Adcy6",3.37535506089076e-30,0.321028829554827,1,1,5.25812811385562e-26
"Zmym5",3.37794853816428e-30,0.247973426137981,1,1,5.26216823275232e-26
"Acaa1b",3.40079493248754e-30,0.761538773841693,1,1,5.29775834582909e-26
"Qars",3.43791873577399e-30,0.28488534725809,1,1,5.35558980658872e-26
"Dbf4",3.49865360901375e-30,-0.475016771059297,1,1,5.45020259212162e-26
"Fzd5",3.51775463204356e-30,-0.292713560176698,1,1,5.47995816579746e-26
"Yeats2",3.52079981818169e-30,0.409040470278872,1,1,5.48470195676343e-26
"Slc6a6",3.74502987989066e-30,-0.516533007308742,1,1,5.83400754689367e-26
"4933433G15Rik",3.75928261149607e-30,0.08468746261639,1,1,5.85621045218857e-26
"Sox5",3.76209104107536e-30,0.298075052167582,1,1,5.86058542378719e-26
"Psmd6",3.80076452738359e-30,-0.625849487761468,1,1,5.92083098075816e-26
"Tfg",3.84053521613915e-30,-0.516984461425526,1,1,5.98278575970157e-26
"Zfp959",3.88296445044654e-30,0.162069763389527,1,1,6.04888202090562e-26
"Agap1",3.91681756669906e-30,-0.401527648717272,1,1,6.1016184054038e-26
"Pold4",4.20110977640236e-30,-0.536514661580382,1,1,6.5444888096796e-26
"Gm47128",4.27305995675766e-30,0.0397854662314514,1,1,6.65657280063709e-26
"Peli2",4.61357353777087e-30,0.464156308823313,1,1,7.18702485713946e-26
"Lrrc8e",4.62958529247285e-30,-0.139728976976112,1,1,7.2119679686142e-26
"Trit1",4.63377074782097e-30,0.235257770076511,1,1,7.2184880709555e-26
"Lamc1",4.6563233794531e-30,0.840173080759599,1,1,7.25362056051204e-26
"Zfp711",4.71096426988209e-30,0.0392028633499004,1,1,7.33874013962231e-26
"C8g",4.92628986004568e-30,0.0835070261112185,1,1,7.67417434397916e-26
"Gm39121",5.07079731260188e-30,0.0443963614378362,1,1,7.89928805357121e-26
"Itgav",5.13487826250381e-30,-0.867995014241994,1,1,7.99911335732844e-26
"Topbp1",5.17104089159655e-30,0.449008053473207,1,1,8.0554475009291e-26
"Fus",5.26569330107971e-30,0.530674384216408,1,1,8.20289702442197e-26
"Thap4",5.73331006956661e-30,-0.211993441224829,1,1,8.93135042637086e-26
"Xpot",5.75965573504124e-30,-0.517648498391526,1,1,8.97239170404724e-26
"Mkln1os",5.92926734872097e-30,0.0586005844380484,1,1,9.23661267583753e-26
"Gm46404",5.98531550448611e-30,0.0757466511843337,1,1,9.32392449288846e-26
"Ebf2",6.27449523242961e-30,0.708926393979083,1,1,9.77440867307885e-26
"Spop",6.30237310333471e-30,-0.60984014102279,1,1,9.81783682037481e-26
"Gm6225",6.31117249750283e-30,0.102848210560815,1,1,9.8315445166099e-26
"Sae1",6.33891315694983e-30,-0.593451168841058,1,1,9.87475891589645e-26
"Hs3st6",6.42417598464761e-30,0.0662012224035089,1,1,1.00075813488841e-25
"F2rl1",6.63111770867003e-30,-0.0892142095275459,1,1,1.03299551665662e-25
"Mical2",6.65485281885283e-30,-1.5612230488377,1,1,1.03669297212089e-25
"Frmd6",6.93812293386598e-30,-0.600637174235856,1,1,1.08082079063764e-25
"2610001J05Rik",7.95431083506316e-30,-0.379282425876555,1,1,1.23912254188614e-25
"Zfp266",7.97461593567151e-30,0.318349548118923,1,1,1.24228567045891e-25
"Tmem186",8.38174461415478e-30,0.162903303251552,1,1,1.30570817599303e-25
"Chac2",8.61402967893146e-30,-0.233178925108914,1,1,1.34189354338394e-25
"Zscan29",9.4940851290135e-30,0.163860281858052,1,1,1.47898858139772e-25
"Gm16973",1.0120130407844e-29,0.0816339876596579,1,1,1.57651391493395e-25
"4931406P16Rik",1.04998649448889e-29,-0.472985816527613,1,1,1.63566896111479e-25
"Gngt2",1.0561146228049e-29,-0.81877650485541,1,1,1.64521535940548e-25
"U2af1l4",1.06542679585358e-29,-0.415347839344766,1,1,1.6597218625807e-25
"Sesn3",1.06915429299816e-29,-0.482256848717728,1,1,1.66552855763254e-25
"Morn2",1.08436733323892e-29,0.385814040784929,1,1,1.6892274317196e-25
"Pirb",1.1089842849987e-29,-0.107990409842212,1,1,1.72757571917097e-25
"Gm29686",1.12741194074107e-29,-0.176622728495343,1,1,1.75628232128643e-25
"Mtap",1.13059957372273e-29,-0.477651153240027,1,1,1.76124801594528e-25
"Fam92a",1.13321224048818e-29,-0.585366574721163,1,1,1.76531802823249e-25
"Strip2",1.13748637625493e-29,0.0397143509229523,1,1,1.77197627692993e-25
"Pm20d2",1.13784338185989e-29,0.038909047688485,1,1,1.77253242026133e-25
"Klf3",1.16000722854614e-29,-0.685946365046774,1,1,1.80705926062918e-25
"Bcor",1.19988240010189e-29,-0.396174241072913,1,1,1.86917680287873e-25
"Trac",1.2027277672039e-29,-0.22182197712319,1,1,1.87360931575024e-25
"Szt2",1.22907402670069e-29,0.150662578470602,1,1,1.91465151879433e-25
"Ap3b1",1.23239270288934e-29,-0.357619622846581,1,1,1.91982135256102e-25
"Hpgd",1.31123671466455e-29,-0.204373388854042,1,1,2.04264455410443e-25
