"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fam136a",0.700571239930702,0.224610658001785,0.381,0.429,1
"Gm10638",0.700991184093005,0.130940358971389,0.074,0.078,1
"Zbed5",0.702099609295685,0.939679659140937,0.036,0.038,1
"Spopl",0.703317805114154,0.417838535796732,0.276,0.295,1
"A730017L22Rik",0.703608166196149,0.422784942701607,0.037,0.035,1
"Trmt11",0.704049136255198,0.50070194774306,0.129,0.138,1
"Cep97",0.704409446320257,0.475952600688301,0.086,0.091,1
"Snx25",0.706372146863789,0.426349695894364,0.138,0.147,1
"Dnaaf4",0.707293236096899,1.01370225024035,0.015,0.016,1
"Gm15952",0.707445951993805,0.469685490772374,0.033,0.035,1
"Igsf9b",0.708058688831755,0.270849238703925,0.034,0.033,1
"Nup50",0.708864436708645,0.220502274882576,0.455,0.499,1
"Hdac2",0.709293393073879,0.195905290289589,0.548,0.598,1
"4930532G15Rik",0.709897299927535,0.568211201549926,0.034,0.033,1
"Zfyve16",0.710610898564572,0.446767627961839,0.26,0.276,1
"Poc5",0.711089147782375,0.315921078154064,0.162,0.167,1
"C030037D09Rik",0.714085335678368,0.54292955145476,0.038,0.037,1
"Ppp3cc",0.714692178959841,0.196523002991698,0.115,0.121,1
"Bex1",0.715991578398856,-0.922000407215783,0.013,0.012,1
"Mto1",0.717242053270624,0.391655758811921,0.148,0.151,1
"Arhgap32",0.717778613967264,0.588209753248895,0.128,0.136,1
"Gm10260",0.718412535123163,0.424827979072911,0.017,0.016,1
"9330151L19Rik",0.719139477704934,0.959503014564612,0.041,0.044,1
"Rictor",0.72031020710456,0.543586741010447,0.311,0.339,1
"Nemf",0.72077321959116,0.272369596078945,0.489,0.547,1
"Ccdc171",0.721978054452552,0.583213352514323,0.039,0.041,1
"Zfp9",0.722275152929734,0.486388860197079,0.249,0.271,1
"Mzf1",0.724737640814097,1.14310574618053,0.01,0.009,1
"Gm27010",0.725618368328903,0.966265746154582,0.01,0.009,1
"Brdt",0.72606287300702,0.698828208516003,0.043,0.042,1
"Lman2l",0.726100855758733,0.587026422159955,0.157,0.162,1
"Cherp",0.726670193251132,0.45703242051424,0.307,0.34,1
"Mbd5",0.726954837794386,0.453291868490305,0.19,0.204,1
"Bmp1",0.727886562999321,0.303131124608011,0.586,0.667,1
"Rad17",0.729551986968279,0.19282957580193,0.348,0.384,1
"Uba6",0.729889611636525,0.20739495839496,0.37,0.398,1
"Fancd2",0.730320238761732,0.602026255470857,0.087,0.092,1
"Lsg1",0.730691842158238,0.364524733509889,0.373,0.414,1
"Msh5",0.730753896778203,0.925436583205289,0.018,0.017,1
"Gm15892",0.730902933970846,1.01285698880313,0.026,0.025,1
"Zbtb40",0.731753282674568,0.455911380910596,0.058,0.058,1
"Agk",0.732377580185209,0.485420470412249,0.21,0.226,1
"Mycbp",0.732441130648718,0.297401236106757,0.277,0.292,1
"Copz1",0.733807584500711,0.111132186704727,0.477,0.534,1
"Exosc5",0.734358099317952,0.154310108723106,0.477,0.532,1
"Ccdc163",0.734766187092596,0.268817103052695,0.126,0.128,1
"Ss18l1",0.735682436265686,0.332254628779712,0.035,0.034,1
"E430018J23Rik",0.735759477554648,0.648194167920316,0.041,0.043,1
"Gata6",0.7358202189394,0.256474474777803,0.272,0.288,1
"Cep295",0.73677252890046,0.366880790355906,0.285,0.315,1
"Mbd6",0.73777203884205,0.408139811516745,0.197,0.21,1
"Sept3",0.739475264747171,0.960814994888013,0.027,0.026,1
"Pigg",0.739539925934085,0.844410337582272,0.085,0.09,1
"Rc3h2",0.740225824992534,0.329102049935777,0.428,0.465,1
"Iqank1",0.741051446712862,-0.295670473750778,0.015,0.014,1
"Gm12059",0.74138122289506,0.419392798810892,0.024,0.025,1
"Swsap1",0.741626525696566,0.716320636558638,0.044,0.043,1
"Irf3",0.742246740407816,0.271267777135556,0.318,0.347,1
"Galnt9",0.742313887938753,0.300330239460255,0.04,0.039,1
"Ankle1",0.743392258748046,0.419266674014851,0.066,0.066,1
"Ppp6r1",0.746281150822437,0.19012947541684,0.24,0.252,1
"Zwilch",0.746492502457302,0.566202264877318,0.187,0.199,1
"Mecp2",0.747384895346583,0.348809553530961,0.331,0.368,1
"Cdkl3",0.747406236454837,0.261915219305649,0.083,0.087,1
"Ndufs7",0.74756288037076,0.347474365790044,0.69,0.779,1
"4931414P19Rik",0.747717411589564,0.661207474166049,0.031,0.033,1
"Hspa2",0.748099723779718,0.242409477626464,0.144,0.153,1
"Pyroxd1",0.749538897659837,0.625513577443412,0.164,0.175,1
"Clk2",0.749689755956386,0.549702686749285,0.177,0.19,1
"Rabgap1",0.749690375926614,0.177211114651753,0.402,0.44,1
"Cstf1",0.74996791946947,0.373478145523302,0.214,0.232,1
"Lipa",0.751254195354308,-0.142005682674216,0.477,0.519,1
"Gpatch8",0.752141601452261,0.261325666732382,0.436,0.485,1
"Phrf1",0.752446046042409,0.353164152553855,0.395,0.431,1
"Ftsj3",0.753161040018,0.171540090982765,0.489,0.536,1
"Zfp418",0.75450782275866,0.557207085777428,0.009,0.01,1
"Klhl15",0.754943700158571,0.394719615247876,0.093,0.097,1
"Helb",0.755634374865728,0.221464946730854,0.191,0.2,1
"Ppp1r3e",0.75686454864559,0.607401363643058,0.071,0.074,1
"Cab39l",0.757978412930249,0.138908130597671,0.368,0.4,1
"Pds5a",0.758369495159339,0.225236600410881,0.488,0.538,1
