"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cpsf31",3.1075872693308e-08,0.323447463369833,0.387,0.284,0.000641841074607584,"7","Cpsf3"
"E130309D02Rik2",3.1825781737686e-08,0.325495815284331,0.253,0.161,0.000657329696010166,"7","E130309D02Rik"
"Fam168b3",3.2408022253468e-08,0.147067684534115,0.544,0.425,0.000669355291623129,"7","Fam168b"
"Selenot3",3.3198155539183e-08,0.100795188068141,0.731,0.587,0.000685674704506287,"7","Selenot"
"Cdkl22",3.3921840407766e-08,0.573527751659815,0.172,0.1,0.000700621691781999,"7","Cdkl2"
"Tmsb15b22",3.42835430530026e-08,0.696963667250818,0.112,0.055,0.000708092298216716,"7","Tmsb15b2"
"Tpcn13",3.4321836783624e-08,0.601385322419511,0.184,0.109,0.000708883216928971,"7","Tpcn1"
"Myg12",3.45424088369233e-08,0.182961778523684,0.505,0.372,0.000713438912117813,"7","Myg1"
"2410004B18Rik3",3.73373357581238e-08,0.243324073807299,0.409,0.299,0.000771165332748288,"7","2410004B18Rik"
"Hps42",3.77226782765084e-08,0.463058440010296,0.228,0.143,0.000779124197123004,"7","Hps4"
"Psmf11",4.08528109357103e-08,0.41515728742487,0.34,0.238,0.000843773957066161,"7","Psmf1"
"Bop13",4.16115391532855e-08,0.330437825290663,0.414,0.308,0.000859444729671959,"7","Bop1"
"Gale1",4.20065935718674e-08,0.469293226395592,0.233,0.149,0.000867604183633349,"7","Gale"
"Dapk34",4.2043594109007e-08,0.18665269571799,0.49,0.379,0.000868368392727431,"7","Dapk3"
"Ccnc3",4.28448864848693e-08,0.321892111462187,0.363,0.262,0.00088491828545849,"7","Ccnc"
"Zbtb173",4.30549563137078e-08,0.525720727220069,0.192,0.115,0.000889257067703321,"7","Zbtb17"
"Chfr1",4.53698746977119e-08,0.201862557456494,0.329,0.23,0.000937069392006542,"7","Chfr"
"Pqbp13",4.6082455243787e-08,0.264970962631104,0.41,0.301,0.000951787030605176,"7","Pqbp1"
"Tmem803",4.79599790516612e-08,0.446825903920927,0.302,0.207,0.00099056540733301,"7","Tmem80"
"Rngtt2",4.8944322566534e-08,0.277037797297057,0.358,0.258,0.00101089603828919,"7","Rngtt"
"Ank1",4.98250788205551e-08,0.375026458787299,0.262,0.17,0.00102908717795974,"7","Ank"
"Smad23",5.01799057761248e-08,0.185002075996736,0.409,0.301,0.00103641577390008,"7","Smad2"
"Smim261",5.19311960120439e-08,0.305586940165201,0.439,0.33,0.00107258692243275,"7","Smim26"
"Pnpo1",5.27272298101638e-08,0.652728040946928,0.146,0.082,0.00108902820449912,"7","Pnpo"
"Arid3a4",5.52026390746342e-08,0.394524830573951,0.181,0.104,0.0011401553074475,"7","Arid3a"
"Naa801",5.55528541376493e-08,0.708058074701188,0.192,0.116,0.00114738864935901,"7","Naa80"
"Eps15l12",5.58334458840501e-08,0.646523142688978,0.306,0.214,0.00115318399128917,"7","Eps15l1"
"H2-T223",5.62743353151653e-08,0.314793072579526,0.32,0.22,0.00116229012159942,"7","H2-T22"
"Stk11ip",5.75327428126171e-08,0.573384512609749,0.114,0.057,0.00118828127005179,"7","Stk11ip"
"Zbtb47",5.76041289883047e-08,0.208656158018315,0.367,0.259,0.00118975568012445,"7","Zbtb4"
"Nufip12",6.03125400713344e-08,0.217097048274975,0.441,0.325,0.00124569520263334,"7","Nufip1"
"Sco23",6.12453181427325e-08,0.160327735337266,0.467,0.341,0.00126496080092,"7","Sco2"
"Gatad2a4",6.22931516656172e-08,0.250784611904358,0.546,0.433,0.00128660275450166,"7","Gatad2a"
"Dusp163",6.24872434389761e-08,0.475621473237943,0.231,0.147,0.00129061152598861,"7","Dusp16"
"Casp73",6.38871864002142e-08,0.531258218622451,0.165,0.094,0.00131952594791002,"7","Casp7"
"Lsm22",6.42476439448984e-08,0.202238960788073,0.675,0.529,0.00132697083803793,"7","Lsm2"
"Mgat13",6.85855102236154e-08,0.128911206180479,0.512,0.397,0.00141656512815855,"7","Mgat1"
"Clns1a3",7.08266356595299e-08,0.106234185524446,0.618,0.479,0.00146285333291193,"7","Clns1a"
"D830050J10Rik2",7.40271533818701e-08,0.661999126188929,0.212,0.131,0.00152895682594915,"7","D830050J10Rik"
"Nudt16l1",7.49994162108723e-08,0.312104207512219,0.286,0.191,0.00154903794241936,"7","Nudt16l1"
"Pxdc12",7.91314415803191e-08,0.405796498639631,0.183,0.108,0.00163438079439991,"7","Pxdc1"
"Rpp25l2",8.0273083586322e-08,0.226693397643402,0.526,0.409,0.00165796026839189,"7","Rpp25l"
"Gpd1l2",8.03580460765888e-08,0.508650269146162,0.212,0.131,0.00165971508366587,"7","Gpd1l"
"Ptgir2",8.07805388799134e-08,0.664051168056662,0.128,0.068,0.00166844125002573,"7","Ptgir"
"Ep3002",8.31501794844768e-08,0.158759473390471,0.523,0.398,0.00171738380707238,"7","Ep300"
"Prkag12",8.41530986699741e-08,0.227878589800463,0.468,0.36,0.00173809809992965,"7","Prkag1"
"Pwp13",8.81816140495602e-08,0.215605787302073,0.421,0.313,0.00182130305657962,"7","Pwp1"
"Cyp4f163",9.39130303545611e-08,0.651005478024897,0.179,0.106,0.00193967972894311,"7","Cyp4f16"
"Utp233",9.68945810040052e-08,0.239484421097141,0.365,0.259,0.00200126067605672,"7","Utp23"
"Surf14",9.73369647469215e-08,0.225418731543868,0.382,0.278,0.00201039766988292,"7","Surf1"
"Utp14a3",1.04680447634478e-07,0.163893449308396,0.562,0.438,0.0021620699654425,"7","Utp14a"
"Slc4a23",1.05028068988853e-07,0.147158699184569,0.456,0.34,0.00216924973689578,"7","Slc4a2"
"Tlnrd13",1.07931871644955e-07,0.3433096361454,0.367,0.262,0.0022292248769549,"7","Tlnrd1"
"Gmppb2",1.10178245068401e-07,0.135721776809649,0.429,0.315,0.00227562147364276,"7","Gmppb"
"Lgals82",1.12536243416631e-07,0.168660118489719,0.515,0.403,0.00232432357152709,"7","Lgals8"
"Rraga3",1.12876480128513e-07,0.100971994349484,0.745,0.609,0.0023313508205743,"7","Rraga"
"Thoc52",1.12993698740476e-07,0.444711269594865,0.295,0.201,0.0023337718537858,"7","Thoc5"
"Usp310",1.14565398623253e-07,0.184497418650733,0.425,0.317,0.00236623374316466,"7","Usp3"
"Nde12",1.1559367887857e-07,0.266299476524472,0.369,0.262,0.00238747184355799,"7","Nde1"
"Chmp1b2",1.19512717985823e-07,0.246220828889837,0.421,0.312,0.00246841567727919,"7","Chmp1b"
"Thumpd31",1.21465410880298e-07,0.385851265989293,0.396,0.294,0.00250874659632168,"7","Thumpd3"
"Col4a3bp2",1.21738750812783e-07,0.212301768901132,0.499,0.38,0.00251439215928722,"7","Col4a3bp"
"Aldh16a13",1.24420434439946e-07,0.466844227645062,0.242,0.158,0.00256977965292264,"7","Aldh16a1"
"Ctnnbl11",1.29408104182309e-07,0.275757953895261,0.398,0.293,0.00267279498378141,"7","Ctnnbl1"
"Gsk3a3",1.29422612508993e-07,0.206178064544719,0.512,0.393,0.00267309463876075,"7","Gsk3a"
"Pacs13",1.36937281198404e-07,0.21215272399913,0.242,0.155,0.00282830260587183,"7","Pacs1"
"Med63",1.39304677387142e-07,0.132380598799323,0.382,0.275,0.00287719880675403,"7","Med6"
"Ncbp23",1.39827134621454e-07,0.120418322651631,0.631,0.509,0.00288798963847151,"7","Ncbp2"
"Dcaf73",1.42103916735687e-07,0.190206456050187,0.454,0.346,0.00293501429625888,"7","Dcaf7"
"Chmp1a3",1.45490104180456e-07,0.10862286352039,0.564,0.442,0.00300495261174313,"7","Chmp1a"
"Keap12",1.46116685567948e-07,0.154795203305593,0.575,0.448,0.00301789402372039,"7","Keap1"
"Fcgrt3",1.49278186023421e-07,0.146201717996134,0.638,0.53,0.00308319165412774,"7","Fcgrt"
"Prpsap22",1.49482215210076e-07,0.670027515771538,0.206,0.13,0.00308740567294892,"7","Prpsap2"
"Dpm23",1.61973424187817e-07,0.10209655839661,0.542,0.422,0.00334539910317517,"7","Dpm2"
"Zcchc173",1.65358323894732e-07,0.122307458061273,0.732,0.583,0.0034153108217218,"7","Zcchc17"
"Sympk2",1.76704294672938e-07,0.178777166176921,0.479,0.365,0.00364965050217486,"7","Sympk"
"Mrpl310",1.94088816490324e-07,0.10344908727523,0.571,0.443,0.00400871041579115,"7","Mrpl3"
"Hs1bp31",1.98172084136996e-07,0.204127251795625,0.23,0.144,0.00409304622576551,"7","Hs1bp3"
"Soga13",2.18417039784737e-07,0.467897960446583,0.183,0.111,0.00451118553971396,"7","Soga1"
"Bnip13",2.20012760583658e-07,0.475420365440685,0.288,0.201,0.00454414355709487,"7","Bnip1"
"Lrrcc12",2.21901903332731e-07,0.249106919703002,0.394,0.284,0.00458316191143422,"7","Lrrcc1"
"Sdccag82",2.30921672930916e-07,0.237897942640923,0.298,0.205,0.00476945623271513,"7","Sdccag8"
"Gm111102",2.3953203619674e-07,0.437364856228103,0.154,0.086,0.00494729467560746,"7","Gm11110"
"Ttc39c1",2.41074052701043e-07,0.62317981316121,0.215,0.138,0.00497914348448735,"7","Ttc39c"
"Copz12",2.43780440114533e-07,0.119438673569587,0.624,0.495,0.00503504121012556,"7","Copz1"
"Pmpcb3",2.54644159774687e-07,0.136174707428702,0.582,0.46,0.00525942047598638,"7","Pmpcb"
"Racgap12",2.63405129562467e-07,0.28177631952312,0.389,0.275,0.00544036954598319,"7","Racgap1"
"Pfkfb32",2.69063086848821e-07,0.193446133768601,0.297,0.198,0.00555722899577556,"7","Pfkfb3"
"Akap102",2.69151726697826e-07,0.426814175015988,0.203,0.127,0.0055590597632169,"7","Akap10"
"Mad2l1bp3",2.69796381318831e-07,0.522823958082057,0.255,0.171,0.00557237445975914,"7","Mad2l1bp"
"Bloc1s62",2.76212995519281e-07,0.310405831051428,0.333,0.24,0.00570490320945523,"7","Bloc1s6"
"Rsph91",2.78393036367765e-07,0.667086488351357,0.101,0.05,0.00574992977313981,"7","Rsph9"
"Smndc13",2.87518025088816e-07,0.192507734972224,0.553,0.445,0.00593839729018441,"7","Smndc1"
"Ddx473",2.87897910426121e-07,0.188040951061015,0.467,0.362,0.0059462434419411,"7","Ddx47"
